CD_UF;CD_MUN;NM_MUN;n;media;dp;p25;mediana;p75
35;3520103;Igarapava;60.0;0.4693780941299405;0.15455397674615334;0.41253837196993753;0.4848990573289639;0.5705021237864077
35;3529401;Mauá;829.0;0.48331761388708316;0.0932984873424605;0.4172661870503597;0.48333333333333334;0.5447761194029851
35;3545209;Salto;204.0;0.4498650468532106;0.11187905338910947;0.3748292349726776;0.4680130116562754;0.5374295190713101
35;3548708;São Bernardo do Campo;1707.0;0.5086942711699884;0.09618075048834995;0.4472136222910217;0.515;0.5714285714285714
35;3548807;São Caetano do Sul;421.0;0.48722547854294285;0.09738462024725904;0.42777777777777776;0.48936170212765956;0.5555555555555556
35;3550308;São Paulo;26634.0;0.5288013551009454;0.08421860059416705;0.4772727272727273;0.5324453703293294;0.584070796460177
35;3552700;Tabatinga;36.0;0.49299634382499136;0.1351005389822677;0.42958092663143665;0.5132141082960755;0.568396923986986
41;4106902;Curitiba;3165.0;0.4863574146001117;0.08717929511352171;0.4307692307692308;0.49137931034482757;0.5513307984790875
41;4118501;Pato Branco;169.0;0.43705786233793664;0.13410921386773342;0.35555555555555557;0.449438202247191;0.5326633165829145
41;4123857;Santa Maria do Oeste;35.0;0.2601777223309189;0.13720521497546612;0.13660287081339711;0.24489795918367346;0.34504347826086956
41;4125506;São José dos Pinhais;512.0;0.45102152655981587;0.11273315521810467;0.37399659219992426;0.4500727997847659;0.5266228905824715
42;4217808;Taió;60.0;0.42951934248674667;0.2160909550908461;0.2268690981547258;0.4882154882154882;0.5859008365639665
43;4304606;Canoas;643.0;0.5210523889832744;0.08652964405218744;0.4710266585266585;0.5277777777777778;0.5823480317151204
43;4305355;Charqueadas;60.0;0.4708769019797839;0.09655710729012162;0.4217371463340432;0.471007330532905;0.5291644369696507
43;4314902;Porto Alegre;2687.0;0.5536642439829861;0.07505293706265316;0.5098688482015323;0.5579399141630901;0.6027593190304411
43;4319307;São Paulo das Missões;18.0;0.2402511368877357;0.14738034064607253;0.1281832298136646;0.18836544250451537;0.3703125
50;5002704;Campo Grande;1639.0;0.49633054500984675;0.10162831816080117;0.43879703780246276;0.5029411764705882;0.5595854922279793
51;5103007;Chapada dos Guimarães;67.0;0.3840071311029896;0.18034377831014142;0.22514784567727403;0.39705882352941174;0.5223759660932437
52;5201108;Anápolis;581.0;0.4584535053981445;0.11679039079129566;0.3802469135802469;0.4578313253012048;0.5476190476190477
52;5208608;Goianésia;102.0;0.4085905670445635;0.1315647688286081;0.32024678220330394;0.4202623146285118;0.48639303800161704
52;5208707;Goiânia;2285.0;0.4998502048105017;0.0951229783702054;0.44345238095238093;0.5071428571428571;0.5654761904761905
52;5222054;Vicentinópolis;15.0;0.30268816813247457;0.13708346234939842;0.2344387755102041;0.29646017699115046;0.3548430647759332
53;5300108;Brasília;5242.0;0.4904961287809652;0.10322249303034291;0.43957371131284173;0.5027473356881925;0.5586139547413793
