CD_UF;CD_MUN;NM_MUN;regiao;n_setores;pop_total;n_crianca_0a4;n_pop_0a14;n_pop_15a59;n_idoso_60mais;n_idoso_70mais;pct_pop_0a14;pct_60mais;IEP;RDI;prop_70mais_entre_60mais
27;2704302;Maceió;Nordeste;1531.0;954274.0;62957.0;193293.0;632599.0;128207.0;52957.0;20.26;13.44;66.3;20.3;41.3
21;2111300;São Luís;Nordeste;1674.0;1025705.0;62897.0;199973.0;694438.0;131182.0;55040.0;19.5;12.79;65.6;18.9;42.0
52;5208608;Goianésia;Centro-Oeste;88.0;69623.0;4647.0;14091.0;46439.0;9078.0;3786.0;20.24;13.04;64.4;19.5;41.7
29;2910800;Feira de Santana;Nordeste;997.0;578062.0;35778.0;116778.0;387583.0;73604.0;32181.0;20.2;12.73;63.0;19.0;43.7
33;3302403;Macaé;Sudeste;618.0;239558.0;15857.0;50622.0;157743.0;31012.0;12128.0;21.13;12.95;61.3;19.7;39.1
26;2600401;Água Preta;Nordeste;32.0;17257.0;1120.0;3955.0;10882.0;2420.0;1086.0;22.92;14.02;61.2;22.2;44.9
15;1500800;Ananindeua;Norte;732.0;476489.0;28771.0;94637.0;324104.0;57673.0;22173.0;19.86;12.1;60.9;17.8;38.4
26;2607950;Jaqueira;Nordeste;9.0;6765.0;503.0;1541.0;4353.0;871.0;422.0;22.78;12.88;56.5;20.0;48.5
41;4125506;São José dos Pinhais;Sul;456.0;308113.0;19868.0;64051.0;208335.0;35663.0;13649.0;20.79;11.57;55.7;17.1;38.3
21;2111631;São Raimundo do Doca Bezerra;Nordeste;3.0;1917.0;147.0;443.0;1230.0;244.0;113.0;23.11;12.73;55.1;19.8;46.3
31;3112307;Capelinha;Sudeste;56.0;32514.0;2297.0;6969.0;21809.0;3719.0;1672.0;21.43;11.44;53.4;17.1;45.0
21;2109601;Rosário;Nordeste;36.0;25442.0;1795.0;5903.0;16455.0;3084.0;1359.0;23.2;12.12;52.2;18.7;44.1
27;2704708;Marechal Deodoro;Nordeste;88.0;59140.0;4381.0;13558.0;38555.0;7010.0;2681.0;22.93;11.85;51.7;18.2;38.2
52;5222054;Vicentinópolis;Centro-Oeste;11.0;7968.0;598.0;1688.0;5412.0;868.0;365.0;21.18;10.89;51.4;16.0;42.1
28;2803401;Japoatã;Nordeste;7.0;4576.0;343.0;1049.0;3012.0;515.0;248.0;22.92;11.25;49.1;17.1;48.2
13;1302603;Manaus;Norte;3094.0;2040770.0;151806.0;479771.0;1363939.0;196845.0;74598.0;23.51;9.65;41.0;14.4;37.9
21;2111201;São José de Ribamar;Nordeste;580.0;240834.0;17617.0;54186.0;165762.0;20813.0;7986.0;22.5;8.64;38.4;12.6;38.4
15;1505650;Placas;Norte;16.0;8060.0;745.0;2166.0;5125.0;765.0;343.0;26.87;9.49;35.3;14.9;44.8
13;1300300;Autazes;Norte;43.0;18585.0;1893.0;5591.0;11270.0;1712.0;719.0;30.08;9.21;30.6;15.2;42.0
15;1505809;Portel;Norte;26.0;30223.0;3230.0;9325.0;18459.0;2433.0;1108.0;30.85;8.05;26.1;13.2;45.5
