CD_SETOR;NM_MUN;indice_01;escore_F1;escore_F2;escore_composto;escore_composto_bruto
330455705120185;Rio de Janeiro;0.332085;-0.318697;-0.84084;-0.501249;-0.265324
330455705120186;Rio de Janeiro;0.344037;0.430793;-0.874983;-0.025732;0.003896
330455705120187;Rio de Janeiro;0.333921;-0.311723;-0.789582;-0.478792;-0.226964
330455705120188;Rio de Janeiro;0.35383;0.31443;-0.928281;-0.120046;-0.025394
330455705120189;Rio de Janeiro;0.348043;0.134759;-0.899809;-0.226946;-0.045831
330455705120190;Rio de Janeiro;0.327663;-0.506048;-0.586427;-0.53415;-0.231167
330455705120191;Rio de Janeiro;0.339603;-0.866969;0.735314;-0.30678;-0.328027
330455705120192;Rio de Janeiro;0.29865;-0.521378;-0.876939;-0.645689;-0.508942
330455705120193;Rio de Janeiro;0.309069;-0.969667;-0.664959;-0.863135;-0.674809
330455705120194;Rio de Janeiro;0.387628;1.222617;-1.297559;0.341515;0.189282
330455705120195;Rio de Janeiro;0.399343;1.81188;-1.292677;0.726467;0.509215
330455705120196;Rio de Janeiro;0.391161;1.007466;-0.84032;0.361444;0.25283
330455705120197;Rio de Janeiro;0.378233;0.613904;-0.965241;0.061804;0.072745
330455705120198;Rio de Janeiro;0.340917;-0.734933;0.582336;-0.27439;-0.197925
330455705120199;Rio de Janeiro;0.304649;-0.732055;-0.71416;-0.725799;-0.435039
330455705120200;Rio de Janeiro;0.33289;-0.728506;0.459741;-0.313072;-0.241
330455705120202;Rio de Janeiro;0.313944;-0.818198;-0.651878;-0.760049;-0.504155
330455705120204;Rio de Janeiro;0.366668;1.024856;-0.601081;0.456397;0.29823
330455705120205;Rio de Janeiro;0.383827;1.533478;-1.068869;0.623647;0.554319
330455705120206;Rio de Janeiro;0.382356;1.275654;-1.422133;0.332455;0.352767
330455705120207;Rio de Janeiro;0.351099;0.32553;-0.11065;0.173033;0.019314
330455705120208;Rio de Janeiro;0.325317;-0.287231;-0.58968;-0.392973;-0.198747
330455705120209;Rio de Janeiro;0.390543;1.367592;-1.431915;0.38883;0.415259
330455705120210;Rio de Janeiro;0.366494;1.318862;-1.303376;0.402076;0.265265
330455705120211;Rio de Janeiro;0.377384;1.558813;-1.207675;0.591595;0.323388
330455705120212;Rio de Janeiro;0.393244;1.208831;-1.20768;0.363972;0.260976
330455705120213;Rio de Janeiro;0.38922;1.367831;-1.24348;0.454866;0.280867
330455705120214;Rio de Janeiro;0.360759;0.99259;-1.251341;0.208068;0.095371
