CD_UF;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
43;pct_sem_agua_canalizada;Saneamento;False;18984;0.005954;0.036143;0.000000;0.000000;0.002727;0.995191
43;pct_agua_nao_encanada;Saneamento;False;17117;0.001968;0.023543;0.000000;0.000000;0.000000;0.001802
43;pct_agua_so_terreno;Saneamento;False;16113;0.002549;0.028688;0.000000;0.000000;0.000000;0.002031
43;pct_sem_banheiro;Saneamento;False;15992;0.002332;0.022365;0.000000;0.000000;0.000000;0.002062
43;pct_sem_banheiro_nem_sanitario;Saneamento;False;18423;0.000096;0.003547;0.000000;0.000000;0.000000;0.000090
43;pct_resp_feminino;Socioeconômica;False;18842;0.510082;0.108972;0.445161;0.521739;0.586061;0.515970
43;pct_crianca_0a4;Demografia;False;18338;0.054859;0.021804;0.040620;0.053085;0.067213;0.057061
43;pct_pop_0a14;Demografia;False;18872;0.167544;0.056620;0.134183;0.166667;0.201483;0.177712
43;pct_idoso_60mais;Demografia;False;18904;0.208712;0.086123;0.147873;0.206125;0.262825;0.193803
43;iep_setor;Demografia;False;18529;152.673471;134.778597;74.316940;123.809524;189.552239;109.027644
43;rdi_setor;Demografia;False;18886;35.783297;22.612061;22.790366;32.888717;44.418450;30.862608
43;prop_70mais_entre_60mais;Demografia;False;18552;44.062313;10.824653;37.500000;44.117647;50.458716;45.081871
50;pct_agua_inad;Saneamento;True;4638;0.060283;0.141825;0.000000;0.000000;0.051948;0.047691
50;pct_esgoto_inad;Saneamento;True;4638;0.222468;0.330891;0.000000;0.033771;0.334341;0.206015
50;pct_lixo_inad;Saneamento;True;4638;0.024820;0.116075;0.000000;0.000000;0.000000;0.017286
50;razao_moradores;Socioeconômica;True;4638;2.771561;0.315465;2.598671;2.764101;2.937960;2.774605
50;pct_analfab;Socioeconômica;True;4295;0.051443;0.039636;0.023810;0.041667;0.069767;0.049702
50;renda_media;Socioeconômica;True;4638;3239.539021;2367.368633;1999.967500;2566.060000;3547.970000;3239.539021
50;pct_raca_pretpardind;Socioeconômica;True;4638;0.541635;0.148338;0.455742;0.562438;0.644893;0.550401
50;pct_dom_improv;Morfologia;False;4231;0.000496;0.006670;0.000000;0.000000;0.000000;0.000457
50;pct_hab_precaria;Morfologia;False;4638;0.002186;0.014907;0.000000;0.000000;0.000000;0.001940
50;pct_moradia_convencional;Morfologia;False;4638;0.995250;0.016627;0.994819;1.000000;1.000000;0.995927
50;pct_moradia_nao_convencional;Morfologia;False;4637;0.001779;0.013597;0.000000;0.000000;0.000000;0.001579
50;pct_apartamento;Morfologia;False;4186;0.067321;0.206430;0.000000;0.000000;0.000000;0.068742
50;pct_casa;Morfologia;False;4595;0.906956;0.215760;0.944153;0.991266;1.000000;0.906026
50;pct_casa_vila_condominio;Morfologia;False;3928;0.042440;0.129552;0.000000;0.000000;0.028986;0.044494
50;pct_sem_agua_canalizada;Saneamento;False;4636;0.012096;0.059823;0.000000;0.000000;0.005714;0.990542
50;pct_agua_nao_encanada;Saneamento;False;4124;0.003177;0.037879;0.000000;0.000000;0.000000;0.001763
50;pct_agua_so_terreno;Saneamento;False;3665;0.008626;0.052166;0.000000;0.000000;0.000000;0.007516
50;pct_sem_banheiro;Saneamento;False;4085;0.002653;0.039185;0.000000;0.000000;0.000000;0.001358
50;pct_sem_banheiro_nem_sanitario;Saneamento;False;4541;0.000008;0.000396;0.000000;0.000000;0.000000;0.000008
50;pct_resp_feminino;Socioeconômica;False;4607;0.485378;0.108597;0.415611;0.486631;0.558476;0.490144
50;pct_crianca_0a4;Demografia;False;4591;0.070931;0.024161;0.054341;0.069692;0.085578;0.071709
50;pct_pop_0a14;Demografia;False;4630;0.212636;0.057512;0.175482;0.212173;0.248426;0.217189
50;pct_idoso_60mais;Demografia;False;4616;0.146352;0.073357;0.091805;0.137694;0.190672;0.141733
50;iep_setor;Demografia;False;4584;81.495255;67.085140;37.029746;64.368351;105.312088;65.254029
50;rdi_setor;Demografia;False;4612;23.837347;17.727098;13.941985;21.361160;30.597761;22.117193
50;prop_70mais_entre_60mais;Demografia;False;4490;41.373893;10.180720;35.347005;41.444405;47.500000;43.007071
51;pct_agua_inad;Saneamento;True;5650;0.100274;0.207375;0.000000;0.000000;0.086843;0.083503
51;pct_esgoto_inad;Saneamento;True;5650;0.371760;0.395106;0.000000;0.161835;0.826232;0.357828
51;pct_lixo_inad;Saneamento;True;5650;0.048000;0.171394;0.000000;0.000000;0.000000;0.044355
51;razao_moradores;Socioeconômica;True;5650;2.815306;0.297351;2.637829;2.824243;2.997083;2.830840
51;pct_analfab;Socioeconômica;True;5259;0.056730;0.041695;0.025898;0.048518;0.077519;0.052641
51;renda_media;Socioeconômica;True;5649;3456.100972;2491.320492;2185.050000;2788.960000;3803.400000;3456.100972
51;pct_raca_pretpardind;Socioeconômica;True;5650;0.655287;0.138651;0.575841;0.678629;0.755127;0.665382
51;pct_dom_improv;Morfologia;False;5225;0.000714;0.009852;0.000000;0.000000;0.000000;0.000588
51;pct_hab_precaria;Morfologia;False;5650;0.005645;0.025145;0.000000;0.000000;0.000000;0.005929
51;pct_moradia_convencional;Morfologia;False;5650;0.991106;0.026931;0.992248;1.000000;1.000000;0.991808
51;pct_moradia_nao_convencional;Morfologia;False;5650;0.005078;0.023547;0.000000;0.000000;0.000000;0.005450
51;pct_apartamento;Morfologia;False;5002;0.073142;0.188897;0.000000;0.000000;0.038900;0.081731
51;pct_casa;Morfologia;False;5619;0.904673;0.197383;0.919714;0.985981;1.000000;0.895034
51;pct_casa_vila_condominio;Morfologia;False;4770;0.031559;0.109801;0.000000;0.000000;0.016649;0.036594
51;pct_sem_agua_canalizada;Saneamento;False;5650;0.022593;0.080966;0.000000;0.000000;0.009756;0.977558
51;pct_agua_nao_encanada;Saneamento;False;5142;0.003190;0.025454;0.000000;0.000000;0.000000;0.003109
51;pct_agua_so_terreno;Saneamento;False;4457;0.021321;0.078133;0.000000;0.000000;0.000000;0.022749
51;pct_sem_banheiro;Saneamento;False;4917;0.001702;0.016077;0.000000;0.000000;0.000000;0.001510
