regiao;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
Sudeste;pct_analfab;Socioeconômica;True;150259;0.039475;0.035864;0.015444;0.030675;0.053435;0.038488
Sudeste;renda_media;Socioeconômica;True;175056;3591.874966;3353.568481;1884.720000;2502.245000;3796.420000;3591.874966
Sudeste;pct_raca_pretpardind;Socioeconômica;True;175073;0.476064;0.204635;0.315650;0.491228;0.639821;0.490437
Sudeste;pct_dom_improv;Morfologia;False;167097;0.000549;0.014320;0.000000;0.000000;0.000000;0.000493
Sudeste;pct_hab_precaria;Morfologia;False;175076;0.004092;0.035120;0.000000;0.000000;0.000000;0.004001
Sudeste;pct_moradia_convencional;Morfologia;False;175076;0.993337;0.033909;0.995392;1.000000;1.000000;0.994154
Sudeste;pct_moradia_nao_convencional;Morfologia;False;175076;0.003635;0.032287;0.000000;0.000000;0.000000;0.003568
Sudeste;pct_apartamento;Morfologia;False;159438;0.218825;0.353672;0.000000;0.012048;0.275000;0.220211
Sudeste;pct_casa;Morfologia;False;170110;0.787913;0.334088;0.735757;0.973811;1.000000;0.788169
Sudeste;pct_casa_vila_condominio;Morfologia;False;156623;0.031850;0.123590;0.000000;0.000000;0.000000;0.030208
Sudeste;pct_sem_agua_canalizada;Saneamento;False;175000;0.010795;0.061001;0.000000;0.000000;0.000000;0.990857
Sudeste;pct_agua_nao_encanada;Saneamento;False;163344;0.003658;0.039876;0.000000;0.000000;0.000000;0.002998
Sudeste;pct_agua_so_terreno;Saneamento;False;152266;0.006617;0.048915;0.000000;0.000000;0.000000;0.005891
Sudeste;pct_sem_banheiro;Saneamento;False;159794;0.000624;0.010722;0.000000;0.000000;0.000000;0.000543
Sudeste;pct_sem_banheiro_nem_sanitario;Saneamento;False;172246;0.000032;0.002556;0.000000;0.000000;0.000000;0.000022
Sudeste;pct_resp_feminino;Socioeconômica;False;174388;0.498493;0.105375;0.432540;0.506550;0.571429;0.499774
Sudeste;pct_crianca_0a4;Demografia;False;171042;0.055187;0.021963;0.040000;0.053208;0.068047;0.056553
Sudeste;pct_pop_0a14;Demografia;False;174485;0.173491;0.054991;0.137931;0.173034;0.208726;0.180316
Sudeste;pct_idoso_60mais;Demografia;False;174453;0.184911;0.086564;0.122257;0.177524;0.239923;0.175165
Sudeste;iep_setor;Demografia;False;172695;134.685758;129.522043;59.437261;101.851852;169.801494;97.140104
Sudeste;rdi_setor;Demografia;False;174388;30.470453;21.514262;18.217054;27.484412;39.130435;27.192155
Sudeste;prop_70mais_entre_60mais;Demografia;False;170610;42.817827;11.047544;35.820896;42.857143;50.000000;44.514552
Sul;pct_agua_inad;Saneamento;True;49771;0.073397;0.192125;0.000000;0.000000;0.031496;0.052092
Sul;pct_esgoto_inad;Saneamento;True;49770;0.118358;0.260656;0.000000;0.000000;0.055351;0.101617
Sul;pct_lixo_inad;Saneamento;True;49770;0.078642;0.218076;0.000000;0.000000;0.015152;0.073339
Sul;razao_moradores;Socioeconômica;True;49771;2.634372;0.318477;2.457001;2.652174;2.833815;2.631111
Sul;pct_analfab;Socioeconômica;True;42541;0.035355;0.034101;0.013208;0.026012;0.047022;0.033578
Sul;renda_media;Socioeconômica;True;49769;3508.518419;2380.903880;2213.670000;2831.340000;3906.830000;3508.518419
Sul;pct_raca_pretpardind;Socioeconômica;True;49770;0.258619;0.144688;0.147030;0.236948;0.354557;0.273547
Sul;pct_dom_improv;Morfologia;False;46973;0.000160;0.004668;0.000000;0.000000;0.000000;0.000150
Sul;pct_hab_precaria;Morfologia;False;49771;0.001004;0.011175;0.000000;0.000000;0.000000;0.001052
Sul;pct_moradia_convencional;Morfologia;False;49771;0.996247;0.014393;0.996241;1.000000;1.000000;0.997025
Sul;pct_moradia_nao_convencional;Morfologia;False;49771;0.000882;0.010294;0.000000;0.000000;0.000000;0.000938
Sul;pct_apartamento;Morfologia;False;44409;0.198093;0.309408;0.000000;0.033784;0.251337;0.219229
Sul;pct_casa;Morfologia;False;49028;0.816420;0.289369;0.776892;0.965517;1.000000;0.795870
Sul;pct_casa_vila_condominio;Morfologia;False;43736;0.017369;0.080815;0.000000;0.000000;0.000000;0.019602
Sul;pct_sem_agua_canalizada;Saneamento;False;49764;0.004808;0.032523;0.000000;0.000000;0.000000;0.996407
Sul;pct_agua_nao_encanada;Saneamento;False;46075;0.001572;0.023472;0.000000;0.000000;0.000000;0.001106
Sul;pct_agua_so_terreno;Saneamento;False;42787;0.001998;0.024607;0.000000;0.000000;0.000000;0.001555
Sul;pct_sem_banheiro;Saneamento;False;43637;0.001374;0.017478;0.000000;0.000000;0.000000;0.001155
Sul;pct_sem_banheiro_nem_sanitario;Saneamento;False;48763;0.000054;0.002390;0.000000;0.000000;0.000000;0.000053
Sul;pct_resp_feminino;Socioeconômica;False;49428;0.485453;0.113373;0.410714;0.492597;0.566667;0.489989
Sul;pct_crianca_0a4;Demografia;False;48450;0.058384;0.022051;0.043771;0.056628;0.071197;0.059982
Sul;pct_pop_0a14;Demografia;False;49539;0.178003;0.054957;0.145228;0.177986;0.211669;0.185869
Sul;pct_idoso_60mais;Demografia;False;49541;0.182496;0.081620;0.123596;0.175497;0.233216;0.170065
Sul;iep_setor;Demografia;False;48851;124.514809;111.052897;59.510699;98.136646;156.152367;91.483938
Sul;rdi_setor;Demografia;False;49512;30.309849;19.889541;18.535223;27.249643;38.235294;26.421613
Sul;prop_70mais_entre_60mais;Demografia;False;48513;42.676170;10.535223;36.206897;42.647059;48.958333;43.887177
